Name|oXFantaXo
Position|12,6.1,1
MapFile|celadon\mart.dat
Rotation|2.920492
RivalName|Silver
Money|343048
Badges|9,10,11,12,13,15,14,16,3,1,2,6,4,5,7,8
Gender|Male
PlayTime|13,4,47,29
OT|99999
Points|0
hasPokedex|1
hasPokegear|1
freeCamera|1
thirdPerson|1
skin|68
location|Pokemon Mart
battleAnimations|0
BoxAmount|5
LastRestPlace|cerulean\center.dat
LastRestPlacePosition|7,0.1,6
DiagonalMovement|0
RepelSteps|0
LastSavePlace|celadon\mart.dat
LastSavePlacePosition|4,0.1,10
Difficulty|0
BattleStyle|0
saveCreated|Indev 0.45.1
LastPokemonPosition|12,6,0
DaycareSteps|1314590
GameMode|Kolben
