0,(oxtwlxo|-16:-24.-17|0|126000|75)
0,{"Pokemon"[26]}{"Experience"[138222]}{"Gender"[0]}{"EggSteps"[0]}{"Item"[108]}{"ItemData"[]}{"NickName"[Pika]}{"Level"[51]}{"OT"[126000]}{"Ability"[9]}{"Status"[]}{"Nature"[14]}{"CatchLocation"[Daycare]}{"CatchTrainer"[oxtwlxo]}{"CatchBall"[5]}{"CatchMethod"[obtained at]}{"Friendship"[255]}{"isShiny"[0]}{"Attack1"[85,15,15]}{"Attack2"[97,30,30]}{"Attack3"[186,10,10]}{"Attack4"[87,10,10]}{"HP"[135]}{"EVs"[38,71,74,34,43,251]}{"IVs"[16,23,20,10,0,19]}{"AdditionalData"[]}
0,{"Pokemon"[18]}{"Experience"[62017]}{"Gender"[0]}{"EggSteps"[0]}{"Item"[91]}{"ItemData"[]}{"NickName"[]}{"Level"[41]}{"OT"[126000]}{"Ability"[51]}{"Status"[]}{"Nature"[4]}{"CatchLocation"[Daycare]}{"CatchTrainer"[oxtwlxo]}{"CatchBall"[5]}{"CatchMethod"[obtained at]}{"Friendship"[206]}{"isShiny"[0]}{"Attack1"[33,35,35]}{"Attack2"[28,15,15]}{"Attack3"[19,15,15]}{"Attack4"[211,25,25]}{"HP"[122]}{"EVs"[4,62,19,19,14,111]}{"IVs"[7,16,20,4,29,24]}{"AdditionalData"[]}
0,{"Pokemon"[130]}{"Experience"[49703]}{"Gender"[1]}{"EggSteps"[0]}{"Item"[95]}{"ItemData"[]}{"NickName"[Gyro]}{"Level"[34]}{"OT"[126000]}{"Ability"[22]}{"Status"[]}{"Nature"[18]}{"CatchLocation"[Lake of Rage]}{"CatchTrainer"[oxtwlxo]}{"CatchBall"[80]}{"CatchMethod"[caught at]}{"Friendship"[97]}{"isShiny"[1]}{"Attack1"[423,15,15]}{"Attack2"[127,15,15]}{"Attack3"[57,15,15]}{"Attack4"[239,20,20]}{"HP"[115]}{"EVs"[2,18,23,7,3,13]}{"IVs"[21,2,7,28,1,27]}{"AdditionalData"[]}
0,{"Pokemon"[154]}{"Experience"[89830]}{"Gender"[0]}{"EggSteps"[0]}{"Item"[117]}{"ItemData"[]}{"NickName"[Chika]}{"Level"[46]}{"OT"[126000]}{"Ability"[65]}{"Status"[]}{"Nature"[5]}{"CatchLocation"[at New Bark Town]}{"CatchTrainer"[oxtwlxo]}{"CatchBall"[5]}{"CatchMethod"[As a gift from Prof. Elm]}{"Friendship"[214]}{"isShiny"[0]}{"Attack1"[34,15,15]}{"Attack2"[75,25,25]}{"Attack3"[80,10,10]}{"Attack4"[77,35,35]}{"HP"[151]}{"EVs"[68,82,103,51,47,159]}{"IVs"[31,13,16,4,16,17]}{"AdditionalData"[]}
0,{"Pokemon"[257]}{"Experience"[73689]}{"Gender"[1]}{"EggSteps"[0]}{"Item"[138]}{"ItemData"[]}{"NickName"[]}{"Level"[43]}{"OT"[126000]}{"Ability"[66]}{"Status"[]}{"Nature"[16]}{"CatchLocation"[Daycare]}{"CatchTrainer"[oxtwlxo]}{"CatchBall"[5]}{"CatchMethod"[obtained at]}{"Friendship"[207]}{"isShiny"[0]}{"Attack1"[299,10,10]}{"Attack2"[163,20,20]}{"Attack3"[64,35,35]}{"Attack4"[136,10,10]}{"HP"[130]}{"EVs"[2,27,40,7,6,115]}{"IVs"[19,29,20,26,9,17]}{"AdditionalData"[]}
0,{"Pokemon"[112]}{"Experience"[67889]}{"Gender"[0]}{"EggSteps"[0]}{"Item"[0]}{"ItemData"[]}{"NickName"[]}{"Level"[37]}{"OT"[126000]}{"Ability"[69]}{"Status"[]}{"Nature"[14]}{"CatchLocation"[Victory Road]}{"CatchTrainer"[oxtwlxo]}{"CatchBall"[157]}{"CatchMethod"[caught at]}{"Friendship"[80]}{"isShiny"[0]}{"Attack1"[184,10,10]}{"Attack2"[350,10,10]}{"Attack3"[523,20,20]}{"Attack4"[498,20,20]}{"HP"[134]}{"EVs"[1,10,0,1,0,3]}{"IVs"[25,4,10,27,28,9]}{"AdditionalData"[]}
1,(oxtwlxo|-20:-59.-16|0|126000|77)
1,{"Pokemon"[26]}{"Experience"[189225]}{"Gender"[0]}{"EggSteps"[0]}{"Item"[108]}{"ItemData"[]}{"NickName"[Pika]}{"Level"[57]}{"OT"[126000]}{"Ability"[9]}{"Status"[]}{"Nature"[14]}{"CatchLocation"[Daycare]}{"CatchTrainer"[oxtwlxo]}{"CatchBall"[5]}{"CatchMethod"[obtained at]}{"Friendship"[255]}{"isShiny"[0]}{"Attack1"[85,15,15]}{"Attack2"[97,30,30]}{"Attack3"[186,10,10]}{"Attack4"[87,10,10]}{"HP"[149]}{"EVs"[38,71,74,34,43,251]}{"IVs"[16,23,20,10,0,19]}{"AdditionalData"[]}
1,{"Pokemon"[257]}{"Experience"[101724]}{"Gender"[1]}{"EggSteps"[0]}{"Item"[138]}{"ItemData"[]}{"NickName"[]}{"Level"[47]}{"OT"[126000]}{"Ability"[66]}{"Status"[]}{"Nature"[16]}{"CatchLocation"[Daycare]}{"CatchTrainer"[oxtwlxo]}{"CatchBall"[5]}{"CatchMethod"[obtained at]}{"Friendship"[223]}{"isShiny"[0]}{"Attack1"[299,10,10]}{"Attack2"[163,20,20]}{"Attack3"[64,35,35]}{"Attack4"[136,10,10]}{"HP"[141]}{"EVs"[3,36,59,19,16,122]}{"IVs"[19,29,20,26,9,17]}{"AdditionalData"[]}
1,{"Pokemon"[18]}{"Experience"[166903]}{"Gender"[0]}{"EggSteps"[0]}{"Item"[91]}{"ItemData"[]}{"NickName"[]}{"Level"[55]}{"OT"[126000]}{"Ability"[51]}{"Status"[]}{"Nature"[4]}{"CatchLocation"[Daycare]}{"CatchTrainer"[oxtwlxo]}{"CatchBall"[5]}{"CatchMethod"[obtained at]}{"Friendship"[242]}{"isShiny"[0]}{"Attack1"[33,35,35]}{"Attack2"[28,15,15]}{"Attack3"[19,15,15]}{"Attack4"[211,25,25]}{"HP"[162]}{"EVs"[18,140,56,54,27,159]}{"IVs"[7,16,20,4,29,24]}{"AdditionalData"[]}
