{243|1}
{214|1}
{15|69}
{175|1}
{160|28}
{221|1}
{58|1}
{229|1}
{239|1}
{225|1}
{165|50}
{164|55}
{161|20}
{157|47}
{166|26}
{247|1}
{186|13}
{251|1}
{54|1}
{2007|22}
{174|24}
{240|1}
{218|2}
{55|1}
{245|1}
{220|1}
{59|1}
{191|1}
{178|1}
{246|1}
{32|115}
{67|1}
{244|1}
{142|1}
{62|45}
{39|21}
{14|15}
{230|1}
{64|6}
{233|1}
{200|1}
{215|2}
{198|2}
{236|1}
{248|1}
{206|1}
{213|1}
{133|2}
{127|1}
{104|1}
{201|1}
{19|43}
{231|2}
{238|2}
{223|2}
{192|2}
{204|2}
{195|1}
{227|1}
{2002|15}
{159|22}
{40|17}
{21|10}
{151|5}
{208|1}
{179|3}
{249|1}
{102|1}
{65|40}
{1|5}
{2051|6}
{3|42}
{2000|13}
{98|1}
{23|20}
{78|1}
{2016|16}
{2003|31}
{2004|18}
{2006|32}
{147|1}
{26|999}
{2024|20}
{2010|20}
{24|14}
{216|1}
{100|2}
{2023|9}
{82|10}
{77|1}
{81|2}
{2001|13}
{2044|3}
{2053|6}
{2008|14}
{169|12}
{2005|10}
{129|8}
{2009|11}
{2037|5}
{167|6}
{25|1000}
{41|1}
{197|1}
{27|991}
{28|999}
{237|2}
{61|1}
{29|985}
{199|1}
{71|1}
{385|1}
{318|9}
{2055|2}
{188|19}
{88|4}
{2043|5}
{34|14}
{390|1}
{141|1}
{2052|5}
{2019|9}
{309|10}
{311|9}
{302|10}
{304|10}
{2020|16}
{2012|3}
{120|3}
{80|6}
{502|10}
{183|4}
{172|5}
{2014|3}
{2031|4}
{2056|3}
{2025|15}
{158|6}
{150|9}
{162|6}
{2039|1}
{2038|4}
{2029|2}
{2018|2}
{2042|1}
{79|4}
{108|1}
{30|1}
{63|40}
{95|2}
{8|12}
{37|20}
{2061|1}
{2059|2}
{143|5}
{31|987}
{2030|1}
{74|2}
{42|38}
{163|2}
{91|3}
{146|21}
{310|10}
{301|10}
{303|10}
{357|1}
{428|1}
{461|1}
{252|1}
{435|1}
{443|1}
{194|1}
{256|17}
{254|16}
{259|12}
{257|12}
{117|1}
{255|12}
{258|15}
{202|1}
{399|1}
{261|14}
{210|1}
{203|1}
{226|1}
{212|1}
{264|1}
{262|9}
{263|1}
{22|12}
{235|1}
{224|1}
{137|12}
{16|30}
{2028|3}
{73|5}
{126|2}
{112|5}
{219|1}
{130|1}
{134|1}
{209|1}
{406|1}
{193|1}
{300|10}
{316|10}
{317|10}
{321|10}
{405|2}
{217|2}
{392|2}
{365|1}
{313|10}
{314|10}
{323|10}
{308|10}
{306|10}
{305|10}
{307|10}
{2041|3}
{4|73}
{119|1}
{187|19}
{2|116}
{38|38}
{149|4}
{2033|1}
{7|16}
{5|62}
{2021|14}
{2022|15}
{97|1}
{57|7}
{196|1}
{144|1}
{181|28}
{265|1}
{438|1}
{469|1}
{398|1}
{409|1}
{250|1}
{384|1}
{96|1}
{440|1}
{106|1}
{46|1}
{136|8}
{83|5}
{266|28}
{72|20}
{101|1}
{93|4}
{92|3}
{99|2}
{85|2}
{253|1}
{135|9}
{185|9}
{370|1}
{408|1}
{376|1}
{284|1}
{222|2}
{207|2}
{205|2}
{424|2}
{176|1}
{11|1}
{362|1}
{228|2}
{241|1}
Mail|318\,oxtwlxo\,wassup!!!\,Hola Bablo\,QoQo\,-1\,126000\,1
Mail|309\,jelenaehrendahl\,oXFantaXo\,hehe~ do you know where i can get pikachu? \,Angel~ (Jelena)\,-1\,548502\,1
