{elmlab.dat|1|remove|1}
{mrpokemonhouse.dat|1|remove|1}
{barktown.dat|2|remove|1}
{elmlab.dat|2|remove|1}
{route30.dat|1|remove|1}
{route30.dat|2|remove|1}
{route30.dat|3|remove|1}
{route30.dat|5|position|8,0,31}
{violet\sprouttowerf3.dat|4|remove|1}
{azalea\kurt.dat|1|remove|1}
{azalea.dat|0|remove|1}
{slowpokewell\slowpokewell1f.dat|0|remove|1}
{slowpokewell\slowpokewell1f.dat|1|remove|1}
{slowpokewell\slowpokewell1f.dat|2|remove|1}
{slowpokewell\slowpokewell1f.dat|3|remove|1}
{slowpokewell\slowpokewell1f.dat|4|remove|1}
{azalea.dat|1|remove|1}
{azalea.dat|2|remove|1}
{azalea\kurt.dat|2|position|3,0,1}
{azalea\kurt.dat|3|position|6,0.2,2}
{azalea.dat|3|position|18,0,11}
{azalea.dat|4|position|15,0,17}
{azalea.dat|5|position|8,0,19}
{azalea.dat|10|position|28,0,11}
{azalea\kurt.dat|2|remove|1}
{azalea\kurt.dat|0|position|14,0,3}
{route36.dat|0|remove|1}
{ecruteak\center.dat|6|remove|0}
{goldenrod\bill.dat|0|position|2,0,2}
{goldenrod\center_friends.dat|0|position|3,0,7}
{burnedtower\burnedtower1f.dat|1|position|7,0,14}
{burnedtower\burnedtower1f.dat|2|position|6,-2,9}
{burnedtower\burnedtowerb1f.dat|1|remove|0}
{burnedtower\burnedtowerb1f.dat|2|remove|0}
{burnedtower\burnedtowerb1f.dat|3|remove|0}
{burnedtower\burnedtower1f.dat|0|remove|0}
{burnedtower\burnedtower1f.dat|1|remove|0}
{gyms\ecruteak_gym.dat|4|position|5,0,1}
{ecruteak\tintowergate1.dat|0|position|3,0,7}
{ecruteak\tintowergate1.dat|1|position|6,0,7}
{cianwood.dat|0|remove|0}
{routes\route42.dat|0|position|26,0,16}
{lighthouse\lighthouse0.dat|11|remove|0}
{gyms\olivine_gym.dat|1|position|4,1,3}
{routes\route42.dat|0|remove|0}
{lakeofrage.dat|0|remove|0}
{lakeofrage.dat|4|position|21,0,28}
{lakeofrage.dat|4|remove|0}
{mahogany\shop.dat|0|position|3,0,5}
{mahogany\shop.dat|3|position|2,0,5}
{mahogany\shop.dat|0|remove|0}
{mahogany\shop.dat|3|remove|0}
{rocketbase\rocketbase2.dat|0|position|0,-1,0}
{rocketbase\rocketbase3.dat|0|position|0,-1,0}
{rocketbase\rocketbase3.dat|7|remove|0}
{rocketbase\rocketbase2.dat|0|position|18,0,7}
{rocketbase\rocketbase2.dat|8|remove|0}
{rocketbase\rocketbase2.dat|7|remove|0}
{rocketbase\rocketbase2.dat|6|remove|0}
{rocketbase\rocketbase1.dat|0|remove|0}
{rocketbase\rocketbase1.dat|1|remove|0}
{rocketbase\rocketbase1.dat|2|remove|0}
{rocketbase\rocketbase1.dat|3|remove|0}
{rocketbase\rocketbase2.dat|0|remove|0}
{rocketbase\rocketbase2.dat|1|remove|0}
{rocketbase\rocketbase2.dat|2|remove|0}
{rocketbase\rocketbase2.dat|3|remove|0}
{rocketbase\rocketbase2.dat|4|remove|0}
{rocketbase\rocketbase2.dat|5|remove|0}
{rocketbase\rocketbase2.dat|11|remove|0}
{rocketbase\rocketbase2.dat|12|remove|0}
{rocketbase\rocketbase2.dat|13|remove|0}
